Time,Frequency
Jan 2004,32
Feb 2004,33
Mar 2004,39
Apr 2004,37
May 2004,38
Jun 2004,40
Jul 2004,48
Aug 2004,43
Sep 2004,38
Oct 2004,37
Nov 2004,41
Dec 2004,44
Jan 2005,41
Feb 2005,43
Mar 2005,45
Apr 2005,53
May 2005,51
Jun 2005,56
Jul 2005,67
Aug 2005,53
Sep 2005,49
Oct 2005,46
Nov 2005,60
Dec 2005,56
Jan 2006,49
Feb 2006,50
Mar 2006,51
Apr 2006,56
May 2006,62
Jun 2006,66
Jul 2006,77
Aug 2006,57
Sep 2006,53
Oct 2006,58
Nov 2006,68
Dec 2006,64
Jan 2007,55
Feb 2007,57
Mar 2007,68
Apr 2007,67
May 2007,80
Jun 2007,91
Jul 2007,88
Aug 2007,71
Sep 2007,71
Oct 2007,69
Nov 2007,84
Dec 2007,76
Jan 2008,73
Feb 2008,65
Mar 2008,76
Apr 2008,85
May 2008,92
Jun 2008,96
Jul 2008,91
Aug 2008,71
Sep 2008,65
Oct 2008,73
Nov 2008,77
Dec 2008,82
Jan 2009,70
Feb 2009,68
Mar 2009,78
Apr 2009,84
May 2009,91
Jun 2009,100
Jul 2009,100
Aug 2009,71
Sep 2009,66
Oct 2009,64
Nov 2009,75
Dec 2009,73
Jan 2010,65
Feb 2010,65
Mar 2010,75
Apr 2010,77
May 2010,84
Jun 2010,96
Jul 2010,94
Aug 2010,66
Sep 2010,61
Oct 2010,57
Nov 2010,68
Dec 2010,78
Jan 2011,65
Feb 2011,57
Mar 2011,71
Apr 2011,81
May 2011,85
Jun 2011,82
Jul 2011,84
Aug 2011,60
Sep 2011,54
Oct 2011,53
Nov 2011,57
Dec 2011,57
Jan 2012,56
Feb 2012,52
Mar 2012,54
Apr 2012,54
May 2012,60
Jun 2012,76
Jul 2012,76
Aug 2012,53
Sep 2012,47
Oct 2012,44
Nov 2012,45
Dec 2012,51
Jan 2013,47
Feb 2013,45
Mar 2013,51
Apr 2013,54
May 2013,59
Jun 2013,75
Jul 2013,69
Aug 2013,52
Sep 2013,45
Oct 2013,42
Nov 2013,43
Dec 2013,49
Jan 2014,45
Feb 2014,42
Mar 2014,46
Apr 2014,46
May 2014,52
Jun 2014,67
Jul 2014,77
Aug 2014,50
Sep 2014,40
Oct 2014,39
Nov 2014,39
Dec 2014,42
Jan 2015,42
Feb 2015,47
Mar 2015,49
Apr 2015,45
May 2015,49
Jun 2015,83
Jul 2015,77
Aug 2015,50
Sep 2015,46
Oct 2015,44
Nov 2015,51
Dec 2015,52
Jan 2016,55
Feb 2016,46
Mar 2016,41
Apr 2016,45
May 2016,56
Jun 2016,86
Jul 2016,76
Aug 2016,51
Sep 2016,38
Oct 2016,37
Nov 2016,38
Dec 2016,38
Jan 2017,39
Feb 2017,35
Mar 2017,38
Apr 2017,39
May 2017,49
Jun 2017,73
Jul 2017,68
Aug 2017,46
Sep 2017,39
Oct 2017,33
Nov 2017,39
Dec 2017,42
Jan 2018,41
Feb 2018,32
Mar 2018,38
Apr 2018,38
May 2018,49
Jun 2018,74
Jul 2018,78
Aug 2018,51
Sep 2018,39
Oct 2018,34
Nov 2018,37
Dec 2018,39
Jan 2019,41
Feb 2019,37
Mar 2019,38
Apr 2019,37
May 2019,49
Jun 2019,91
Jul 2019,75
Aug 2019,47
Sep 2019,37
Oct 2019,33
Nov 2019,35
Dec 2019,37
Jan 2020,38
Feb 2020,32
Mar 2020,24
Apr 2020,25
May 2020,39
Jun 2020,54
Jul 2020,46
Aug 2020,37
Sep 2020,30
Oct 2020,25
Nov 2020,25
Dec 2020,26
Jan 2021,26
Feb 2021,24
Mar 2021,26
Apr 2021,25
May 2021,34
Jun 2021,55
Jul 2021,51
Aug 2021,34
Sep 2021,29
Oct 2021,27
Nov 2021,28
Dec 2021,27
Jan 2022,32
Feb 2022,36
Mar 2022,35
Apr 2022,34
May 2022,49
Jun 2022,72
Jul 2022,64
Aug 2022,43
Sep 2022,34
Oct 2022,29
Nov 2022,28
Dec 2022,29
Jan 2023,32
Feb 2023,30
Mar 2023,30
