id,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,forks_count,open_issues_count,watchers,network_count,subscribers_count,owner_id,organization_id,Crypto,15
1181927,2010-12-19 15:16:43+00:00,2023-04-11 19:13:53.000000,2023-04-11 18:36:34.000000,228758,69004,69004,34048,684,69004,34048,3932,528860,528860,bitcoin,2023-04-11 19:14:25.475622
121470383,2018-02-14 04:26:27+00:00,2023-04-11 18:18:42.000000,2023-04-11 18:56:16.000000,439138,10182,10182,2824,871,10182,2824,269,35608259,35608259,solana,2023-04-11 19:15:07.319429
1181927,2010-12-19 15:16:43+00:00,2023-04-11 19:13:53.000000,2023-04-11 18:36:34.000000,228758,69004,69004,34048,684,69004,34048,3932,528860,528860,bitcoin,2023-04-11 19:15:33.946535
1181927,2010-12-19 15:16:43+00:00,2023-04-11 19:23:25.000000,2023-04-11 20:01:38.000000,228758,69003,69003,34049,684,69003,34049,3932,528860,528860,bitcoin,2023-04-11 20:04:03.233761
121470383,2018-02-14 04:26:27+00:00,2023-04-11 18:18:42.000000,2023-04-11 20:00:44.000000,439138,10182,10182,2824,870,10182,2824,269,35608259,35608259,solana,2023-04-11 20:08:40.057045
121470383,2018-02-14 04:26:27+00:00,2023-04-11 18:18:42.000000,2023-04-12 01:32:48.000000,439684,10182,10182,2826,870,10182,2826,269,35608259,35608259,solana,2023-04-12 02:29:16.483210
1181927,2010-12-19 15:16:43+00:00,2023-04-12 02:06:45.000000,2023-04-11 21:35:23.000000,228758,69009,69009,34048,685,69009,34048,3931,528860,528860,bitcoin,2023-04-12 02:30:25.366766
1181927,2010-12-19 15:16:43+00:00,2023-04-12 14:45:19.000000,2023-04-12 15:11:27.000000,228782,69018,69018,34052,683,69018,34052,3932,528860,528860,bitcoin,2023-04-12 13:52:26.770311
121470383,2018-02-14 04:26:27+00:00,2023-04-12 15:36:47.000000,2023-04-12 15:59:44.000000,439241,10186,10186,2828,873,10186,2828,269,35608259,35608259,solana,2023-04-12 16:08:56.642090
1181927,2010-12-19 15:16:43+00:00,2023-04-12 16:03:12.000000,2023-04-12 16:11:36.000000,228813,69017,69017,34052,684,69017,34052,3932,528860,528860,bitcoin,2023-04-12 16:15:17.694781
121470383,2018-02-14 04:26:27+00:00,2023-04-12 15:36:47.000000,2023-04-12 17:43:35.000000,439317,10186,10186,2829,872,10186,2829,270,35608259,35608259,solana,2023-04-12 18:05:12.386244
1181927,2010-12-19 15:16:43+00:00,2023-04-12 23:38:13.000000,2023-04-12 23:56:47.000000,228959,69025,69025,34051,684,69025,34051,3932,528860,528860,bitcoin,2023-04-13 00:10:15.096663
1181927,2010-12-19 15:16:43+00:00,2023-04-12 23:38:13.000000,2023-04-12 23:56:47.000000,228959,69025,69025,34051,684,69025,34051,3932,528860,528860,bitcoin,2023-04-13 00:13:49.896068
121470383,2018-02-14 04:26:27+00:00,2023-04-12 23:36:27.000000,2023-04-13 00:11:28.000000,440589,10187,10187,2830,866,10187,2830,270,35608259,35608259,solana,2023-04-13 00:21:57.949175
121470383,2018-02-14 04:26:27+00:00,2023-04-13 06:43:54.000000,2023-04-13 06:25:37.000000,440597,10190,10190,2831,863,10190,2831,270,35608259,35608259,solana,2023-04-13 06:32:14.187028
1181927,2010-12-19 15:16:43+00:00,2023-04-13 15:47:48.000000,2023-04-13 15:12:48.000000,228971,69043,69043,34060,682,69043,34060,3931,528860,528860,bitcoin,2023-04-13 15:56:07.776892
121470383,2018-02-14 04:26:27+00:00,2023-04-13 16:51:57.000000,2023-04-13 17:52:33.000000,440628,10190,10190,2832,860,10190,2832,270,35608259,35608259,solana,2023-04-13 18:05:13.588173
1181927,2010-12-19 15:16:43+00:00,2023-04-13 17:59:18.000000,2023-04-13 18:46:43.000000,228971,69044,69044,34060,682,69044,34060,3930,528860,528860,bitcoin,2023-04-13 19:10:10.648369
121470383,2018-02-14 04:26:27+00:00,2023-04-13 16:51:57.000000,2023-04-14 02:21:42.000000,440743,10190,10190,2834,861,10190,2834,270,35608259,35608259,solana,2023-04-14 03:07:02.246605
1181927,2010-12-19 15:16:43+00:00,2023-04-14 02:48:38.000000,2023-04-14 01:44:41.000000,228978,69046,69046,34062,682,69046,34062,3931,528860,528860,bitcoin,2023-04-14 03:08:32.856509
121470383,2018-02-14 04:26:27+00:00,2023-04-14 15:07:20.000000,2023-04-14 15:54:01.000000,440738,10193,10193,2833,861,10193,2833,270,35608259,35608259,solana,2023-04-14 16:01:10.498974
121470383,2018-02-14 04:26:27+00:00,2023-04-14 15:07:20.000000,2023-04-14 18:00:32.000000,440738,10193,10193,2833,861,10193,2833,270,35608259,35608259,solana,2023-04-14 18:05:12.248300
1181927,2010-12-19 15:16:43+00:00,2023-04-14 18:26:27.000000,2023-04-14 16:43:44.000000,228984,69063,69063,34065,684,69063,34065,3931,528860,528860,bitcoin,2023-04-14 19:10:12.327308
